"fecha_deteccion","fuente","identificador","fecha_registro","entidad","grupo","nivel_relacion","valor"
2026-08-19 21:33:02,procesos,CO1.REQ.10821941,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,4000000
2026-08-19 21:33:02,procesos,CO1.REQ.10822138,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,8000000
2026-08-19 21:33:02,procesos,CO1.REQ.10821740,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,10000000
2026-08-19 21:33:02,procesos,CO1.REQ.10864588,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,2500000
2026-08-19 21:33:02,procesos,CO1.REQ.10822039,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,4000000
2026-08-19 21:33:02,procesos,CO1.REQ.10821846,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,3500000
2026-08-19 21:33:02,procesos,CO1.REQ.10821945,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,4000000
2026-08-19 21:33:02,procesos,CO1.REQ.10865161,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,4000000
2026-08-19 21:33:02,procesos,CO1.REQ.10863616,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,6327000
2026-08-19 21:33:02,procesos,CO1.REQ.10865454,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,4000000
